name,cls,so2,nvox,n_core,tau_core,tau_core_err,n_full,tau_full,tau_full_err,r_mm,z_mm,HU
SVC,venous,0.72,5544,303073,1.444462640428445,0.5051977638515546,442924,1.6457617796680846,0.5358411227969927,27.948723546717567,57.452879748819214,19.777417027417027
IVC,venous,0.72,22844,328328,1.4247964961659156,0.4117380619678562,463440,1.4074558852975736,0.36978560686910866,30.662077813627455,-130.43472154911547,40.865697776221324
brachioceph_vein_L,venous,0.72,2808,51346,1.0000000000801832,1.4628582651873687,97938,1.0000000000001024,0.875478134209835,37.32335040527863,98.10844085562951,33.407407407407405
brachioceph_vein_R,venous,0.72,1756,92003,4.999999999999996,5.215292000545714,164485,4.999999999999999,4.136030773535806,35.39358557829823,103.92110976217009,31.195330296127562
RA,venous,0.72,28177,1250500,1.6403099704555426,0.332352640013365,1422415,1.6027474622214493,0.3010805637430591,31.063498625569487,-15.370502465357731,44.94112219185861
RV,venous,0.72,50227,2054844,1.7307531920273478,0.19736549050621335,2361538,1.6999184543310522,0.1715964566973142,52.84606899909301,-26.284932013251193,42.44336711330559
pulm_ARTERY,venous,0.75,12545,539505,1.259367713048352,0.3120725091838435,723801,1.1622775934274823,0.2382189320344668,22.89008046834354,44.33234727873935,40.05253088880032
pulm_VEIN,arterial,0.98,6762,164938,1.4907934317832667,0.7802892827852852,312220,1.3528892665570136,0.5564169652032311,21.575519871536454,20.667641412080002,10.027802425317953
LA,arterial,0.98,20523,900118,1.3017747728671425,0.2704866920531661,1069184,1.2161107484323819,0.2119771823634109,13.816890330589592,6.231534924707262,40.343517029674025
LV,arterial,0.98,33678,1709524,1.35797385407701,0.13398461447806478,1950321,1.3952212030112505,0.1296910917226099,63.303305083166904,-23.159309114510222,39.9006473068472
aorta,arterial,0.98,45375,1743855,1.2699471942215586,0.1449658017364834,2128821,1.2974793370828703,0.13927283423789444,14.98191473497656,20.063775458974305,41.74457300275482
brachioceph_trunk,arterial,0.98,1440,28745,1.0172289901001954,1.2773120399833096,59050,1.469998900624488,1.291597785042016,29.27839189831976,104.3064226309458,42.05694444444445
carotid_L,arterial,0.98,1116,10776,1.0265606813722898,0.628211003285731,38979,1.2624416692816298,0.6574655204794834,32.02001485634635,126.12147618365543,38.992831541218635
carotid_R,arterial,0.98,500,3114,nan,nan,19030,2.38001747263428,1.6246244085721073,36.40164009623451,144.66700033569327,44.34
subclavian_L,arterial,0.98,1372,14102,1.827706114792647,1.0602003464896892,44458,1.0000000000013074,0.5672845365832223,33.592138703687866,116.56749635535152,-6.653790087463557
subclavian_R,arterial,0.98,1048,20770,4.999999999999916,4.956591668121177,65940,2.2843013251972177,1.5306436266972605,37.469141309656024,129.32241821653054,22.481870229007633
myocardium,muscle,nan,32524,1102377,1.6624341917577816,0.20584608330662107,1571799,1.7786743918178265,0.19757991830750266,66.29086494420453,-26.457040831019697,33.6589902840979
