sweep,di,dj,dk,r_mm,n_rv,n_lv,tau_rv,tau_lv,d_rv_lv,tau_rv_err,tau_lv_err,chi_rv,chi_lv,tail_rv,tail_lv,tail_d
baseline,0,0,0,0.0,2361542,1950329,1.6995069999918477,1.3958689871228738,0.30363801286897396,0.17152349327052624,0.12974503239639565,2.7663084621062826,2.165940919758792,2.0831368971678623,1.871932432371731,0.2112044647961313
grid3,-3,-3,-3,8.51325858787314,2559730,1916020,1.5798061208066845,1.4575739822025113,0.12223213860417315,0.1577476781328041,0.14185347081168204,2.8296883450863968,2.3151462565054004,1.8229540680003338,1.8947992163482732,-0.07184514834793942
grid3,-3,-3,-2,7.677444157135192,2544230,1918998,1.5701016035901687,1.4485951016218688,0.12150650196829993,0.15496198448259318,0.14186054176648275,2.8239051895951373,2.375472309869305,1.8667371616865147,1.9548227748810811,-0.08808561319456643
grid3,-3,-3,-1,7.1290739221226636,2524955,1919090,1.5846828509112958,1.4866371647686791,0.09804568614261666,0.1547689395271667,0.14770453870181222,2.735498150433185,2.4109402357049796,2.0429291773518377,1.6684509027601213,0.37447827459171634
grid3,-3,-3,0,6.936657003735742,2502086,1915245,1.6438164387664072,1.4522241727450882,0.19159226602131896,0.15821147367193453,0.14454223817334494,2.710952640941194,2.306478658822816,2.019859582356717,1.6263936554727378,0.3934659268839791
grid3,-3,-3,1,7.1290739221226636,2475447,1907721,1.7289529535977655,1.5190915256877937,0.20986142790997175,0.1713218304746371,0.1570713980806213,2.757404262093001,2.273811546583174,2.126812712607658,1.6399319773970755,0.4868807352105824
grid3,-3,-3,2,7.677444157135192,2445650,1896047,1.7684645619705077,1.5518023114774109,0.21666225049309684,0.17868514966715948,0.15645161954213624,2.7594255721483125,2.189910882832346,2.1235413712463225,1.523554947962207,0.5999864232841154
grid3,-3,-3,3,8.51325858787314,2414317,1881288,1.7127433875491136,1.4877031788752364,0.2250402086738772,0.17134147803075572,0.14808738730955,2.8033693400512663,2.2057228481943647,2.1051273768468843,1.5742434483654877,0.5308839284813966
grid3,-3,-2,-3,7.6859901153968595,2520318,1920974,1.5619462823033505,1.4043753504926315,0.15757093181071902,0.1530941084818623,0.13561184355104194,2.7616434890982036,2.4184254991398517,1.800301770256285,2.010577016686023,-0.21027524642973794
grid3,-3,-2,-2,6.748482870683732,2506071,1925656,1.6062385336096145,1.4414423452936835,0.164796188315931,0.15657005776549462,0.13958334600124567,2.7700569264288526,2.3944860733979696,1.957766425714585,1.9897733746640427,-0.03200694894945766
grid3,-3,-2,-1,6.117398732882455,2488527,1926693,1.6151269662419807,1.4115316410030603,0.20359532523892043,0.1539692768523929,0.13664299629646304,2.817188439287114,2.3792522234397726,1.8219225638488796,1.4917261082263054,0.33019645562257427
grid3,-3,-2,0,5.892035527511571,2465815,1922986,1.6779231667571608,1.4495803912362568,0.22834277552090398,0.16428624500507952,0.14423275553857756,2.747712603967654,2.405817536901162,1.989854805469525,1.6507109977322012,0.3391438077373239
grid3,-3,-2,1,6.117398732882455,2439176,1915841,1.6972723719014617,1.492814841695858,0.20445753020560375,0.1678154226052018,0.15015869808007173,2.747228558350109,2.3583590062678255,2.1584098536663645,1.7060983826124463,0.4523114710539182
grid3,-3,-2,2,6.748482870683732,2410480,1905680,1.6651637388078369,1.5277785887880173,0.13738515001981955,0.1664007702541686,0.15468610040344197,2.8173425627080197,2.278531476476127,2.187811737135625,1.5228201164206923,0.6649916207149327
grid3,-3,-2,3,7.6859901153968595,2378915,1890862,1.7027160010711977,1.5732251548162177,0.12949084625497997,0.1731944794643689,0.16351727963855708,2.811226448299443,2.1362825932057876,2.066300884956848,1.5542276350628437,0.5120732498940042
grid3,-3,-1,-3,7.143792229339239,2474102,1923285,1.5646467424795465,1.4091502881362,0.15549645434334658,0.15840513567490597,0.1341518435833737,2.715567105209684,2.3891347289298968,1.8060476577799023,1.5605359064256832,0.2455117513542191
grid3,-3,-1,-2,6.123834127236074,2460145,1928311,1.6036771094691415,1.43798822305845,0.16568888641069157,0.15922926248544528,0.13474078386847782,2.8533047478987688,2.3258748359512516,2.1159434965902397,1.4810784241566917,0.6348650724335481
grid3,-3,-1,-1,5.420506491008134,2442032,1930036,1.6053991409955735,1.43209096096314,0.17330818003243342,0.1571877623343044,0.13736004446158911,2.8679261776043563,2.3403262151654776,2.0056229336903066,1.6977692583691293,0.30785367532117736
grid3,-3,-1,0,5.164823909819968,2420737,1927437,1.6903956968426783,1.472178526105616,0.21821717073706237,0.16986305256555215,0.14284717145960835,2.900377385271501,2.3811533123830095,1.8757503078201285,1.7402146173472282,0.13553569047290037
grid3,-3,-1,1,5.420506491008134,2394958,1921511,1.703808362461153,1.5294660498860926,0.1743423125750605,0.171178852423735,0.15126779864622178,2.798346428785302,2.3722926007387293,2.058403814498355,1.71648400423494,0.3419198102634151
